Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 70.0.3538.102,,2018-11-21 17:13:45,2018-11-21 17:13:49,4.304s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:13:49,2018-11-21 17:13:51,2.012s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-21 17:13:51,2018-11-21 17:13:53,2.155s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:13:53,2018-11-21 17:13:55,2.012s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-21 17:13:55,2018-11-21 17:13:57,2.162s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:13:57,2018-11-21 17:14:00,3.004s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-21 17:14:00,2018-11-21 17:14:02,1.515s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:14:02,2018-11-21 17:14:04,2.267s,PASSED
waitForAlert,Chrome 70.0.3538.102,,2018-11-21 17:14:04,2018-11-21 17:14:08,4.060s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 70.0.3538.102,,2018-11-21 17:14:08,2018-11-21 17:14:10,2.068s,PASSED
verifyMatch,Chrome 70.0.3538.102,,2018-11-21 17:14:10,2018-11-21 17:14:10,0.035s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 17:14:10,2018-11-21 17:14:12,2.017s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:14:12,2018-11-21 17:14:16,4.016s,PASSED
,,,,,,
Test Cases/Checker 1 Approve,Chrome 70.0.3538.102,,2018-11-21 17:14:19,2018-11-21 17:15:55,1m - 36.671s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-21 17:14:19,2018-11-21 17:14:27,7.309s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 17:14:27,2018-11-21 17:14:29,2.179s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-21 17:14:29,2018-11-21 17:14:31,1.849s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 17:14:31,2018-11-21 17:14:35,4.456s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:14:35,2018-11-21 17:14:36,1.013s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-21 17:14:36,2018-11-21 17:14:39,3.361s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:14:39,2018-11-21 17:14:43,3.476s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 17:14:43,2018-11-21 17:14:45,2.028s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:14:45,2018-11-21 17:14:47,2.278s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:14:47,2018-11-21 17:14:49,2.036s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-21 17:14:49,2018-11-21 17:14:51,2.061s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:14:51,2018-11-21 17:14:55,4.011s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 17:14:55,2018-11-21 17:14:56,1.123s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 17:14:56,2018-11-21 17:15:01,4.220s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-21 17:15:01,2018-11-21 17:15:03,2.136s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:15:03,2018-11-21 17:15:08,5.348s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-21 17:15:08,2018-11-21 17:15:10,1.409s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:15:10,2018-11-21 17:15:12,2.270s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-21 17:15:12,2018-11-21 17:15:14,2.048s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:15:14,2018-11-21 17:15:17,3.339s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 17:15:17,2018-11-21 17:15:19,2.048s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:15:19,2018-11-21 17:15:21,2.019s,PASSED
waitForAlert,Chrome 70.0.3538.102,,2018-11-21 17:15:21,2018-11-21 17:15:22,1.033s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 70.0.3538.102,,2018-11-21 17:15:22,2018-11-21 17:15:24,2.020s,PASSED
verifyMatch,Chrome 70.0.3538.102,,2018-11-21 17:15:24,2018-11-21 17:15:24,0.029s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 17:15:24,2018-11-21 17:15:26,2.020s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:15:26,2018-11-21 17:15:28,2.008s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-21 17:15:28,2018-11-21 17:15:30,2.047s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:15:30,2018-11-21 17:15:33,3.015s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:15:33,2018-11-21 17:15:36,2.205s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:15:36,2018-11-21 17:15:41,5.007s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:15:41,2018-11-21 17:15:44,3.575s,FAILED
switchToWindowTitle,Chrome 70.0.3538.102,,2018-11-21 17:15:44,2018-11-21 17:15:47,3.130s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:15:47,2018-11-21 17:15:50,2.185s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:15:50,2018-11-21 17:15:53,3.580s,PASSED
,,,,,,
Test Cases/CHK1 Approval WD List Chk,Chrome 70.0.3538.102,After Checker 1' s approval check same request showing in list popup or not,2018-11-21 17:15:55,2018-11-21 17:16:25,29.981s,ERROR
setText,Chrome 70.0.3538.102,,2018-11-21 17:15:56,2018-11-21 17:16:00,4.423s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-21 17:16:00,2018-11-21 17:16:04,3.421s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:16:04,2018-11-21 17:16:08,3.678s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 17:16:08,2018-11-21 17:16:10,2.047s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:16:10,2018-11-21 17:16:12,2.043s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 17:16:12,2018-11-21 17:16:14,2.307s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:16:14,2018-11-21 17:16:16,2.021s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-21 17:16:16,2018-11-21 17:16:18,2.140s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 17:16:18,2018-11-21 17:16:20,2.029s,PASSED
Statement - com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.maximizeWindow() * com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.delay(2),Chrome 70.0.3538.102,,2018-11-21 17:16:20,2018-11-21 17:16:23,3.054s,PASSED
