Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WD Request,Chrome 70.0.3538.102,,2018-11-21 16:02:37,2018-11-21 16:06:52,4m - 15.279s,FAILED
,,,,,,
Test Cases/MK_Initiate_WD,Chrome 70.0.3538.102,,2018-11-21 16:02:37,2018-11-21 16:05:53,3m - 15.579s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-21 16:02:38,2018-11-21 16:02:46,7.256s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-21 16:02:46,2018-11-21 16:02:47,1.719s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:02:47,2018-11-21 16:02:52,4.376s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-21 16:02:52,2018-11-21 16:02:55,3.361s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:02:55,2018-11-21 16:02:58,2.619s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 16:02:58,2018-11-21 16:03:00,2.413s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:03:00,2018-11-21 16:03:02,2.041s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:03:02,2018-11-21 16:03:24,21.772s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:03:24,2018-11-21 16:03:26,2.004s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-21 16:03:26,2018-11-21 16:03:30,4.052s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:03:30,2018-11-21 16:03:32,2.019s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 16:03:32,2018-11-21 16:03:44,11.599s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:03:44,2018-11-21 16:03:46,2.026s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:03:46,2018-11-21 16:03:48,2.164s,FAILED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-21 16:03:48,2018-11-21 16:03:50,2.284s,FAILED
click,Chrome 70.0.3538.102,,2018-11-21 16:03:50,2018-11-21 16:03:52,2.136s,FAILED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-21 16:03:52,2018-11-21 16:03:55,2.765s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:03:55,2018-11-21 16:03:57,2.024s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:03:57,2018-11-21 16:03:59,2.312s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:03:59,2018-11-21 16:04:01,2.018s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:04:01,2018-11-21 16:04:04,2.141s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:04,2018-11-21 16:04:06,2.071s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:04:06,2018-11-21 16:04:08,2.161s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:08,2018-11-21 16:04:10,2.013s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:04:10,2018-11-21 16:04:12,2.134s,FAILED
click,Chrome 70.0.3538.102,,2018-11-21 16:04:12,2018-11-21 16:04:14,2.138s,FAILED
