Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:14,2018-11-21 16:04:16,2.027s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:04:16,2018-11-21 16:04:18,2.130s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:18,2018-11-21 16:04:20,2.030s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:04:20,2018-11-21 16:04:22,2.086s,FAILED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:04:22,2018-11-21 16:04:25,2.133s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:25,2018-11-21 16:04:27,2.023s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:04:27,2018-11-21 16:04:29,2.235s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:29,2018-11-21 16:04:31,2.014s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:04:31,2018-11-21 16:04:33,2.101s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:33,2018-11-21 16:04:35,2.052s,PASSED
click,Chrome 70.0.3538.102,Checker 1,2018-11-21 16:04:35,2018-11-21 16:04:37,2.130s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:37,2018-11-21 16:04:41,4.019s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:04:41,2018-11-21 16:04:43,2.102s,FAILED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:04:43,2018-11-21 16:04:45,2.072s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:45,2018-11-21 16:04:47,2.027s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:04:47,2018-11-21 16:04:50,2.176s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:50,2018-11-21 16:04:52,2.015s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:04:52,2018-11-21 16:04:54,2.149s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:54,2018-11-21 16:04:56,2.038s,PASSED
click,Chrome 70.0.3538.102,Checker 2,2018-11-21 16:04:56,2018-11-21 16:04:58,2.163s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:04:58,2018-11-21 16:05:00,2.044s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:05:00,2018-11-21 16:05:02,2.116s,FAILED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-21 16:05:02,2018-11-21 16:05:04,2.092s,FAILED
setText,Chrome 70.0.3538.102,,2018-11-21 16:05:04,2018-11-21 16:05:06,2.103s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:06,2018-11-21 16:05:08,2.021s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-21 16:05:08,2018-11-21 16:05:11,2.247s,FAILED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-21 16:05:11,2018-11-21 16:05:13,2.123s,FAILED
setText,Chrome 70.0.3538.102,,2018-11-21 16:05:13,2018-11-21 16:05:15,2.147s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:15,2018-11-21 16:05:17,2.035s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-21 16:05:17,2018-11-21 16:05:19,2.097s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:19,2018-11-21 16:05:21,2.030s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-21 16:05:21,2018-11-21 16:05:23,2.227s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:23,2018-11-21 16:05:26,3.033s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-21 16:05:26,2018-11-21 16:05:29,2.266s,FAILED
click,Chrome 70.0.3538.102,,2018-11-21 16:05:29,2018-11-21 16:05:31,2.100s,FAILED
waitForAlert,Chrome 70.0.3538.102,,2018-11-21 16:05:31,2018-11-21 16:05:36,5.150s,FAILED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 70.0.3538.102,,2018-11-21 16:05:36,2018-11-21 16:05:41,5.151s,FAILED
verifyMatch,Chrome 70.0.3538.102,,2018-11-21 16:05:41,2018-11-21 16:05:41,0.120s,FAILED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 16:05:41,2018-11-21 16:05:46,5.271s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:46,2018-11-21 16:05:50,4.033s,PASSED
,,,,,,
Test Cases/Withdraw Request,Chrome 70.0.3538.102,,2018-11-21 16:05:53,2018-11-21 16:06:52,59.234s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:55,2018-11-21 16:05:57,2.026s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:05:57,2018-11-21 16:05:59,2.097s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:05:59,2018-11-21 16:06:01,2.044s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-21 16:06:01,2018-11-21 16:06:02,1.101s,FAILED
click,Chrome 70.0.3538.102,,2018-11-21 16:06:02,2018-11-21 16:06:04,2.095s,FAILED
click,Chrome 70.0.3538.102,,2018-11-21 16:06:04,2018-11-21 16:06:06,2.109s,FAILED
setText,Chrome 70.0.3538.102,,2018-11-21 16:06:06,2018-11-21 16:06:09,2.183s,FAILED
click,Chrome 70.0.3538.102,,2018-11-21 16:06:09,2018-11-21 16:06:11,2.162s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:11,2018-11-21 16:06:13,2.044s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:06:13,2018-11-21 16:06:15,2.138s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:15,2018-11-21 16:06:17,2.025s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-21 16:06:17,2018-11-21 16:06:19,2.083s,FAILED
scrollToElement,Chrome 70.0.3538.102,,2018-11-21 16:06:19,2018-11-21 16:06:21,2.122s,FAILED
click,Chrome 70.0.3538.102,,2018-11-21 16:06:21,2018-11-21 16:06:23,2.113s,FAILED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 16:06:23,2018-11-21 16:06:28,5.103s,FAILED
waitForAlert,Chrome 70.0.3538.102,,2018-11-21 16:06:28,2018-11-21 16:06:33,5.085s,FAILED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 70.0.3538.102,,2018-11-21 16:06:33,2018-11-21 16:06:39,5.116s,FAILED
verifyMatch,Chrome 70.0.3538.102,,2018-11-21 16:06:39,2018-11-21 16:06:39,0.020s,FAILED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 16:06:39,2018-11-21 16:06:44,5.073s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:44,2018-11-21 16:06:46,2.020s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:06:46,2018-11-21 16:06:48,2.104s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:06:48,2018-11-21 16:06:50,2.025s,PASSED
