Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 70.0.3538.102,,2018-11-21 16:07:51,2018-11-21 16:07:53,2.011s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-21 16:07:53,2018-11-21 16:07:55,2.126s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:07:55,2018-11-21 16:07:57,2.023s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-21 16:07:57,2018-11-21 16:08:00,2.148s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:08:00,2018-11-21 16:08:03,3.005s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-21 16:08:03,2018-11-21 16:08:04,1.459s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:08:04,2018-11-21 16:08:06,2.156s,PASSED
waitForAlert,Chrome 70.0.3538.102,,2018-11-21 16:08:06,2018-11-21 16:08:12,5.563s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 70.0.3538.102,,2018-11-21 16:08:12,2018-11-21 16:08:14,2.043s,PASSED
verifyMatch,Chrome 70.0.3538.102,,2018-11-21 16:08:14,2018-11-21 16:08:14,0.027s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 16:08:14,2018-11-21 16:08:16,2.026s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:08:16,2018-11-21 16:08:20,4.012s,PASSED
,,,,,,
Test Cases/Withdraw Request,Chrome 70.0.3538.102,,2018-11-21 16:08:22,2018-11-21 16:09:34,1m - 12.325s,FAILED
delay,Chrome 70.0.3538.102,,2018-11-21 16:08:23,2018-11-21 16:08:25,2.010s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-21 16:08:25,2018-11-21 16:08:28,3.168s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:08:28,2018-11-21 16:08:30,2.013s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-21 16:08:30,2018-11-21 16:08:31,1.422s,FAILED
click,Chrome 70.0.3538.102,,2018-11-21 16:08:31,2018-11-21 16:08:36,4.466s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:08:36,2018-11-21 16:08:41,5.042s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:08:41,2018-11-21 16:08:49,8.504s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:08:49,2018-11-21 16:08:58,8.784s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:08:58,2018-11-21 16:09:00,2.006s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:09:00,2018-11-21 16:09:06,6.323s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:09:06,2018-11-21 16:09:08,2.013s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-21 16:09:08,2018-11-21 16:09:10,1.481s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-21 16:09:10,2018-11-21 16:09:12,2.090s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:09:12,2018-11-21 16:09:14,2.153s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 16:09:14,2018-11-21 16:09:16,2.038s,PASSED
waitForAlert,Chrome 70.0.3538.102,,2018-11-21 16:09:16,2018-11-21 16:09:19,2.522s,PASSED
Statement - alertText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 70.0.3538.102,,2018-11-21 16:09:19,2018-11-21 16:09:21,2.016s,PASSED
verifyMatch,Chrome 70.0.3538.102,,2018-11-21 16:09:21,2018-11-21 16:09:21,0.008s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-21 16:09:21,2018-11-21 16:09:23,2.023s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:09:23,2018-11-21 16:09:25,2.027s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:09:25,2018-11-21 16:09:30,5.526s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-21 16:09:30,2018-11-21 16:09:32,2.012s,PASSED
